2021-02-10 | 10:35:29.100 | Test worker          |  INFO | efaultSecurityFilterChain | ID:          | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@110d45b7, org.springframework.security.web.context.SecurityContextPersistenceFilter@2a925113, org.springframework.security.web.header.HeaderWriterFilter@12a040f3, org.springframework.web.filter.CorsFilter@72f3e3d5, org.springframework.security.web.authentication.logout.LogoutFilter@585f6b1a, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@7cf0fec4, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@5bfbbe35, com.swm.sprint1.security.TokenAuthenticationFilter@6243a843, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@a3a27a4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1a0d49c8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@98e3591, org.springframework.security.web.session.SessionManagementFilter@21ab6422, org.springframework.security.web.access.ExceptionTranslationFilter@4548b9e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@54d6e97a]
2021-02-10 | 10:35:29.215 | Test worker          |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'applicationTaskExecutor'
2021-02-10 | 10:35:29.407 | Test worker          |  INFO | ingBootMockServletContext | ID:          | Initializing Spring TestDispatcherServlet ''
2021-02-10 | 10:35:29.407 | Test worker          |  INFO | w.s.TestDispatcherServlet | ID:          | Initializing Servlet ''
2021-02-10 | 10:35:29.418 | Test worker          |  INFO | w.s.TestDispatcherServlet | ID:          | Completed initialization in 11 ms
2021-02-10 | 10:35:29.435 | Test worker          |  INFO | tationPluginsBootstrapper | ID:          | Context refreshed
2021-02-10 | 10:35:29.435 | Test worker          |  INFO | tationPluginsBootstrapper | ID:          | Found 1 custom documentation plugin(s)
2021-02-10 | 10:35:29.438 | Test worker          |  INFO | piListingReferenceScanner | ID:          | Scanning for api listing references
2021-02-10 | 10:35:29.477 | Test worker          |  INFO | ingOperationNameGenerator | ID:          | Generating unique operation named: getRestaurantUsingGET_1
2021-02-10 | 10:35:29.518 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | Started UserControllerTest in 2.373 seconds (JVM running for 12.151)
2021-02-10 | 10:35:30.265 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLiking[5].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[2].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[3].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[4].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[1].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[0].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[6].liking: must not be null
2021-02-10 | 10:35:30.302 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
